"id","type","speed","defense","loyalty","owner"
"1","Sheep","3","4","0","0"
"2","Sheep","3","4","0","0"
"3","Sheep","3","4","0","0"
"4","Sheep","3","4","0","0"
"5","Sheep","3","4","0","0"
"6","Sheep","3","4","0","0"
"7","Sheep","3","4","1","2"
"8","Sheep","3","4","0","0"
"9","Sheep","3","5","2","7"
"10","Sheep","3","4","0","0"
"11","Sheep","3","4","0","0"
"12","Sheep","3","4","0","0"
"13","Sheep","3","4","0","0"
"14","Sheep","3","4","0","0"
"15","Sheep","3","4","0","0"
"16","Sheep","3","4","0","0"
"17","Sheep","3","4","0","0"
"18","Sheep","3","4","0","0"
"19","Sheep","3","4","0","0"
"20","Sheep","3","4","0","0"
"21","Sheep","3","4","0","0"
"22","Sheep","3","4","0","0"
"23","Sheep","3","4","0","0"
"24","Wolf","6","5","0","0"
"25","Wolf","6","5","0","0"
"26","Wolf","6","5","0","0"
"27","Wolf","6","5","0","0"
"28","Wolf","6","5","0","0"
"29","Wolf","6","5","0","0"
"30","Wolf","6","5","1","10"
"31","Wolf","6","5","0","0"
"32","Wolf","6","5","0","0"
"33","Wolf","6","5","0","0"
"34","Wolf","6","5","0","0"
"35","Wolf","6","5","0","0"
"36","Wolf","7","6","4","9"
"37","Wolf","6","5","0","0"
"38","Wolf","6","5","0","0"
"39","Wolf","6","5","0","0"
"40","Bear","5","8","0","0"
"41","Bear","5","8","0","0"
"42","Bear","5","8","0","0"
"43","Bear","5","8","0","0"
"44","Bear","5","8","0","0"
"45","Bear","5","9","3","3"
"46","Bear","5","8","0","0"
"47","Bear","5","8","0","0"
"48","Bear","5","8","0","0"
"49","Bear","5","8","0","0"
"50","Bear","5","8","0","0"
"51","Bear","5","8","0","0"
"52","Bear","5","8","0","0"
"53","Bear","5","8","0","0"
"54","Eagle","8","2","0","0"
"55","Eagle","8","2","0","0"
"56","Eagle","8","2","0","0"
"57","Eagle","8","2","0","0"
"58","Eagle","8","2","0","0"
"59","Eagle","9","3","9","1"
"60","Eagle","8","2","0","0"
"61","Eagle","8","2","0","0"
"62","Eagle","8","2","0","0"
"63","Eagle","8","3","6","4"
"64","Eagle","8","2","0","0"
"65","Eagle","8","2","0","0"
"66","Eagle","8","2","0","0"
"67","Eagle","8","2","0","0"
"68","Eagle","8","2","0","0"
"69","Eagle","8","2","0","0"
"70","Eagle","8","2","0","0"
"71","Tiger","9","8","0","0"
"72","Tiger","9","8","0","0"
"73","Tiger","9","8","0","0"
"74","Tiger","9","8","0","0"
"75","Tiger","9","8","0","0"
"76","Tiger","9","8","0","0"
"77","Tiger","10","9","3","8"
"78","Sea Snake","10","6","0","0"
"79","Sea Snake","10","6","0","0"
"80","Sea Snake","10","6","0","0"
"81","Sea Snake","10","6","0","0"
"83","Sea Snake","10","8","10","2"
"84","Sea Snake","10","6","0","0"
"85","Giant Rat","6","6","0","0"
"86","Giant Rat","6","6","0","0"
"87","Giant Rat","6","6","0","0"
"88","Giant Rat","6","6","1","5"
"89","Giant Rat","6","6","0","0"
"90","Giant Rat","6","6","0","0"
"91","Giant Rat","6","6","0","0"
"92","Giant Rat","6","6","0","0"
"93","Giant Rat","6","6","0","0"
"94","Giant Rat","6","8","3","6"
"95","Giant Rat","6","6","0","0"
"96","Giant Rat","6","6","0","0"
"98","Giant Rat","6","6","0","0"
"99","Giant Rat","6","6","0","0"
"100","Giant Rat","6","6","0","0"
"101","Giant Rat","6","6","0","0"
"102","Giant Rat","6","6","0","0"
"103","Giant Rat","6","6","0","0"
"104","Giant Rat","6","6","0","0"
"105","Giant Rat","6","6","0","0"
"106","Giant Rat","6","6","0","0"
"107","Giant Rat","6","6","0","0"
