"id","name","price","defense"
"1","Loincloth","10","5"
"2","Shirt","15","50"
"3","Skin Armor","100","400"
"4","Linothorax","320","900"
"5","Cuirass","515","1200"
"6","Leather Armor","875","1850"
"7","Chainmail","1125","2200"
"8","Plate Armor","2100","3100"
"9","Bronze Armor","2950","4250"
"10","Steel Armor","3900","5150"
"11","Golden Armor","5000","6300"
"12","Diamond Armor","8325","7250"
"13","Shiny Robe","1250","2575"
"14","Sorceress Skin","4000","4900"
"15","Invincible Cloak","8150","7100"
"16","Dragon Skull Armor","9950","8500"
"17","Dragon Skin","9950","8500"
"18","Tear of God","15000","9750"
"19","Giant Shell","0","400"
"20","Skeleton Armor","0","625"
"21","Evil Aura","0","1800"
"22","Human Skin Armor","0","2375"
"23","Apocalypse Armor","0","2925"
