"id","name","price","attack"
"1","Dirk","10","100"
"2","Poniard","15","150"
"3","Rondel","28","200"
"4","Dagger","50","250"
"5","Anelace","70","300"
"6","Baselard","110","425"
"7","Cinquedea","130","450"
"8","Stiletto","150","500"
"9","Machete","300","725"
"10","Katara","550","925"
"11","Shortsword","300","700"
"12","Falchion","320","755"
"13","Flamberge","430","875"
"14","Cutlass","620","1180"
"15","Spatha","735","1400"
"16","Rapier","965","1770"
"17","Claymore","1000","1950"
"18","Sabre","1175","2115"
"19","Broadsword","1345","2545"
"20","Scimitar","1600","2865"
"21","Katana","1830","3040"
"22","Longsword","2200","3200"
"23","Quarterstaff","12","125"
"24","Club","200","515"
"25","Mace","520","1075"
"26","War Hammer","700","1580"
"27","Flail","1200","2050"
"28","Morning Star","1730","2450"
"29","Maul","2005","2900"
"30","Pike","100","325"
"31","Pitchfork","150","400"
"32","Lance","500","1000"
"33","Swordstaff","575","1100"
"34","Glaive","780","1505"
"35","Partisan","945","1800"
"36","Guisarme","1400","2200"
"37","scythe","1700","2770"
"38","Voulge","1920","2925"
"39","ranseur","2520","3100"
"40","Halberd","2850","3500"
"41","Tomahawk","210","225"
"42","Ono","310","750"
"43","Battle Axe","1685","2800"
"44","Sling","15","115"
"45","bow","525","900"
"46","Longbow","780","1500"
"47","Crossbow","1300","2500"
"48","Shell Chain","0","1000"
"49","Soul Sword","0","2200"
"50","Obsidian Staff","0","3500"
"51","Knock-Down Hammer","0","4850"
"52","Axe of Terror","0","6200"
